date,ticker,close,open,high,low,volume,sentiment_avg,sentiment_sum,polarity_ratio,news_volume,return_t,ma_7,volatility_7,target_next_return
2020-01-21,MSFT,159.257,159.432,160.867,159.189,30860048.828704,-0.10600389,-9.01033,0.15286757,85.0,-0.0036037614259882833,157.097,0.00945870882567476,-0.004904023057071272
2020-01-22,MSFT,158.476,160.117,160.204,158.456,25236949.286439,-0.11399519,-12.995451,0.08291838,114.0,-0.004904023057071272,157.693,0.00949433595595039,0.006278553219414951
2020-01-23,MSFT,159.471,158.953,159.55,158.066,20576125.075471,-0.16228786,-27.42665,0.06687396,169.0,0.006278553219414951,158.16171428571428,0.008866475173505774,-0.010227564886405638
2020-01-24,MSFT,157.84,160.224,160.244,157.293,26051743.626392,-0.18179028,-18.906189,0.11860061,104.0,-0.010227564886405638,158.5577142857143,0.00950152136081729,-0.016643436391282407
2020-01-27,MSFT,155.213,154.121,156.276,153.239,33537429.290891,-0.094368696,-2.6423235,0.25625783,28.0,-0.016643436391282407,158.43200000000002,0.011671881966309285,0.01957310276845381
2020-01-28,MSFT,158.251,156.668,158.524,155.986,26032740.539406,-0.020286009,-2.332891,0.4141342,115.0,0.01957310276845381,158.3344285714286,0.012048686812581413,0.015614435295827622
2020-01-29,MSFT,160.722,160.546,161.416,158.466,36725877.203943,-0.04359116,-4.5334806,0.25442973,104.0,0.015614435295827622,158.46142857142857,0.013414464559136611,0.028266198778014173
2020-01-30,MSFT,165.265,166.475,166.475,163.349,53944850.65048,0.28562063,49.126747,0.80185485,172.0,0.028266198778014173,159.3197142857143,0.016659079921438433,-0.014776268417390104
2020-01-31,MSFT,162.823,164.718,164.902,162.194,37786969.406622,0.054658893,7.3789506,0.614795,135.0,-0.014776268417390104,159.94071428571428,0.01803967450125669,0.024400729626649742
2020-02-03,MSFT,166.796,163.009,166.906,162.979,31520656.169029,-0.024669986,-0.8634495,0.43267313,35.0,0.024400729626649742,160.98714285714286,0.01964781880688053,0.03291445838029694
2020-02-04,MSFT,172.286,169.445,172.785,168.633,38090840.654057,-0.16039744,-14.596167,0.18142654,91.0,0.03291445838029694,163.05085714285715,0.02024650248634123,-0.0012479249619818944
2020-02-05,MSFT,172.071,176.018,176.183,170.636,40969070.671529,-0.11230612,-9.433714,0.24911714,84.0,-0.0012479249619818944,165.45914285714284,0.01711332952130419,0.020665887918359438
2020-02-06,MSFT,175.627,173.106,175.812,172.228,29013905.224493,-0.08500092,-8.500092,0.1614149,100.0,0.020665887918359438,167.9414285714286,0.017167286743452904,0.0014405529901437841
2020-02-07,MSFT,175.88,174.884,177.552,174.533,35054450.19907,-0.0044188765,-0.28722697,0.46697724,65.0,0.0014405529901437841,170.10685714285714,0.017918646264026953,0.026216738685467478
2020-02-10,MSFT,180.491,175.578,180.628,175.275,37474969.043802,0.029870117,1.015584,0.64829063,34.0,0.026216738685467478,172.282,0.01764407935038252,-0.022566222138500014
2020-02-11,MSFT,176.418,182.357,182.407,175.499,55578367.720278,-0.009592259,-0.83452654,0.43122983,87.0,-0.022566222138500014,174.22414285714285,0.01978872910984827,0.0014907775850536709
2020-02-12,MSFT,176.681,177.503,177.765,173.937,49204006.867687,-0.04237321,-6.7373405,0.19269703,159.0,0.0014907775850536709,175.63628571428572,0.01922240712827369,-0.005524080121801389
2020-02-13,MSFT,175.705,175.108,178.127,174.904,36901586.906799,-0.023046657,-3.295672,0.3024017,143.0,-0.005524080121801389,176.1247142857143,0.016330479864686994,0.009054950058336342
2020-02-14,MSFT,177.296,175.275,177.346,174.69,24202684.188348,-0.23039517,-41.240734,0.1155842,179.0,0.009054950058336342,176.87114285714284,0.01635595760799112,0.0099833047558886
2020-02-18,MSFT,179.066,177.532,179.525,177.435,29120265.58733,0.01473109,1.325798,0.58241236,90.0,0.0099833047558886,177.36242857142858,0.015029584518739814,0.003054739593222555
2020-02-19,MSFT,179.613,180.373,180.482,178.831,31276753.016742,-0.017971009,-2.3362312,0.40413818,130.0,0.003054739593222555,177.8957142857143,0.015016359241505989,-0.015177075156029951
2020-02-20,MSFT,176.887,179.288,179.584,173.693,38434417.613439,-0.06567576,-7.684064,0.2083345,117.0,-0.015177075156029951,177.38085714285714,0.012301467462329723,-0.031698202807442066
2020-02-21,MSFT,171.28,175.667,175.988,170.011,50673009.685099,-0.018136386,-2.4484122,0.37973803,135.0,-0.031698202807442066,176.64685714285716,0.014945611197221917,-0.04304647361046232
2020-02-24,MSFT,163.907,160.907,167.424,156.572,71224278.505743,-0.039715804,-2.819822,0.16196406,71.0,-0.04304647361046232,174.82200000000003,0.020578958811127153,-0.016521564057666804
2020-02-25,MSFT,161.199,167.08,167.695,160.789,70976367.105756,-0.026692087,-3.6301239,0.3308333,136.0,-0.016521564057666804,172.74971428571425,0.020557420913118768,0.01243804241961799
2020-02-26,MSFT,163.204,162.763,166.162,161.337,58791849.008682,-0.04372228,-4.8968954,0.24812819,112.0,0.01243804241961799,170.73657142857147,0.021167017967516816,-0.07039043160706848
2020-02-27,MSFT,151.716,156.658,160.204,151.521,97148467.711665,-0.31776476,-57.833187,0.055266686,182.0,-0.07039043160706848,166.82942857142856,0.028169808978152442,0.02413720372274497
2020-02-28,MSFT,155.378,146.168,157.029,145.778,101213382.71689,-0.39696023,-63.9106,0.02617405,161.0,0.02413720372274497,163.3672857142857,0.0322564035383345,0.06657313133133402
2020-03-02,MSFT,165.722,158.534,165.85,155.673,74060008.811783,-0.1931549,-8.691971,0.01424603,45.0,0.06657313133133402,161.77228571428572,0.04612629348659364,-0.04803224677471918
2020-03-03,MSFT,157.762,166.689,167.833,155.623,74733776.309435,-0.087424405,-7.955621,0.2516548,91.0,-0.04803224677471918,159.84114285714287,0.047883478985973615,0.03684664241071989
2020-03-04,MSFT,163.575,161.602,163.721,158.837,51938780.522604,-0.03913114,-4.5783434,0.32922512,117.0,0.03684664241071989,159.7937142857143,0.04840487873111283,-0.025089408528197965
2020-03-05,MSFT,159.471,159.247,163.887,158.904,49856476.902081,-0.03008053,-3.3088584,0.28664044,110.0,-0.025089408528197965,159.54685714285714,0.04901800226906822,-0.028299816267534528
2020-03-06,MSFT,154.958,155.966,156.455,149.606,75926603.181717,-0.039799795,-4.696376,0.2816539,118.0,-0.028299816267534528,158.36885714285717,0.049639942915709966,-0.06770221608435822
2020-03-09,MSFT,144.467,144.84,151.298,143.874,73422393.3536,-0.09223003,-2.5824409,0.33444843,28.0,-0.06770221608435822,157.33328571428572,0.049068793456226424,0.06823011483591412
2020-03-10,MSFT,154.324,151.697,154.432,146.334,68141506.021247,-0.05981367,-5.0243483,0.3449669,84.0,0.06823011483591412,157.1827142857143,0.05592426215665623,-0.04525543661387732
2020-03-11,MSFT,147.34,150.691,151.249,144.977,58914000.741255,-0.058116872,-6.915908,0.28340113,119.0,-0.04525543661387732,154.55671428571426,0.04945605395453076,-0.09479435319668805
2020-03-12,MSFT,133.373,139.36,147.183,132.913,97202120.897027,-0.044190392,-5.435418,0.2400492,123.0,-0.09479435319668805,151.07257142857142,0.05712785362158026,0.14221769023715458
2020-03-13,MSFT,152.341,141.462,155.282,134.966,96681924.060533,-0.13102837,-19.26117,0.071557134,147.0,0.14221769023715458,149.4677142857143,0.08322867532999698,-0.1474717902600089
2020-03-16,MSFT,129.875,134.28,143.248,129.496,91654724.509652,-0.15713242,-10.842136,0.110281624,69.0,-0.1474717902600089,145.23971428571429,0.09896828045345718,0.08244850818094318
2020-03-17,MSFT,140.583,134.28,141.462,129.496,84516715.172044,-0.112664364,-26.701454,0.20205382,237.0,0.08244850818094318,143.18614285714287,0.1068406602617147,-0.04211035473705915
2020-03-18,MSFT,134.663,132.367,140.025,129.516,85072816.284036,-0.13110065,-17.174187,0.11957937,131.0,-0.04211035473705915,141.78557142857144,0.10491379379598058,0.016299948760980953
2020-03-19,MSFT,136.858,136.918,144.018,133.314,89586940.676838,-0.040971614,-3.8923035,0.31600815,95.0,0.016299948760980953,139.29042857142858,0.10059942200353593,-0.037454880240833544
2020-03-20,MSFT,131.732,140.025,141.081,130.298,88485441.44684,0.028534355,4.9649777,0.62601095,174.0,-0.037454880240833544,137.06071428571428,0.10022075236074916,-0.010012753165517752
2020-03-23,MSFT,130.413,131.4,134.809,127.103,82343174.005229,-0.060582828,-2.9079757,0.20852377,48.0,-0.010012753165517752,136.63785714285714,0.09337331818274272,0.09084983858971096
