date,ticker,close,open,high,low,volume,sentiment_avg,news_volume,lag1_sentiment,ma_7,ma_30,daily_return,target_next_return
2020-02-13,AAPL,78.839,78.6734,79.1663,78.4696,97605846.0,0.0,0.0,0.0,78.29507142857143,76.19463999999999,-0.00712301302443441,0.000251144738010467
2020-02-14,AAPL,78.8588,78.8086,79.1081,78.3494,82530604.0,0.0,0.0,0.0,78.44318571428572,76.39939666666666,0.000251144738010467,-0.018297260419889882
2020-02-18,AAPL,77.4159,76.5302,77.5983,76.3497,157370598.0,0.0,0.0,0.0,78.25465714285714,76.57954333333332,-0.018297260419889882,0.01446343709754716
2020-02-19,AAPL,78.5356,77.6575,78.767,77.6575,96819206.0,0.0,0.0,0.0,78.37897142857142,76.77802666666666,0.01446343709754716,-0.010228482369778913
2020-02-20,AAPL,77.7323,78.2951,78.7869,77.2229,103599760.0,0.0,0.0,0.0,78.336,76.96099666666667,-0.010228482369778913,-0.022667539748598697
2020-02-21,AAPL,75.9703,77.3234,77.7638,75.3505,133618527.0,0.0,0.0,0.0,78.10807142857142,77.04653333333334,-0.022667539748598697,-0.04749224367943772
2020-02-24,AAPL,72.3623,72.1405,73.816,70.1894,228898340.0,0.0,0.0,0.0,77.10202857142858,76.95974333333334,-0.04749224367943772,-0.03389610335768778
2020-02-25,AAPL,69.9095,73.0346,73.4179,69.4385,237632243.0,0.0,0.0,0.0,75.82638571428572,76.78570666666666,-0.03389610335768778,0.01588482252054435
2020-02-26,AAPL,71.02,69.5358,72.2923,69.529,204708376.0,0.0,0.0,0.0,74.70655714285714,76.59507333333333,0.01588482252054435,-0.06537031822021966
2020-02-27,AAPL,66.3774,68.2194,69.4079,66.2405,330277324.0,0.0,0.0,0.0,73.12962857142857,76.28427666666667,-0.06537031822021966,-0.000595082061062846
2020-02-28,AAPL,66.3379,62.4345,67.5659,62.2156,439762875.0,0.0,0.0,0.0,71.3871,75.98303666666666,-0.000595082061062846,0.09307198449151999
2020-03-02,AAPL,72.5121,68.5012,73.1525,67.3975,351696385.0,0.0,0.0,0.0,70.64135714285715,75.85610333333332,0.09307198449151999,-0.031720223245499723
2020-03-03,AAPL,70.212,73.6927,73.7726,69.3585,329113113.0,0.0,0.0,0.0,69.81874285714285,75.62428,-0.031720223245499723,0.04638950606733894
2020-03-04,AAPL,73.4691,71.9406,73.6306,71.1345,225790285.0,0.0,0.0,0.0,69.97685714285714,75.51847333333333,0.04638950606733894,-0.032476238309711136
2020-03-05,AAPL,71.0831,71.7167,72.6946,70.7185,193231441.0,0.0,0.0,0.0,70.1445142857143,75.32403,-0.032476238309711136,-0.0132689767328662
2020-03-06,AAPL,70.1399,68.4333,70.5758,68.2498,233000127.0,0.0,0.0,0.0,70.01878571428571,75.08583,-0.0132689767328662,-0.07910048346233733
2020-03-09,AAPL,64.5918,64.0073,67.4871,63.825,295395143.0,0.0,0.0,0.0,69.7637,74.67011333333333,-0.07910048346233733,0.07205868237144641
2020-03-10,AAPL,69.2462,67.2536,69.5153,65.3713,293896506.0,0.0,0.0,0.0,70.17917142857144,74.48500333333335,0.07205868237144641,-0.034712374108615385
2020-03-11,AAPL,66.8425,67.3157,68.2478,65.9754,264114161.0,0.0,0.0,0.0,69.36922857142858,74.14927333333334,-0.034712374108615385,-0.09876500729326398
2020-03-12,AAPL,60.2408,62.1113,65.524,60.1834,431098291.0,0.0,0.0,0.0,67.94477142857143,73.53984666666666,-0.09876500729326398,0.11979754584932456
2020-03-13,AAPL,67.4575,64.2812,67.9296,61.3879,381916110.0,0.0,0.0,0.0,67.08597142857143,73.17478666666666,0.11979754584932456,-0.12863358410851267
2020-03-16,AAPL,58.7802,58.7171,62.8731,58.2431,332150099.0,0.0,0.0,0.0,65.32841428571427,72.63621333333334,-0.12863358410851267,0.04399270502652253
2020-03-17,AAPL,61.3661,60.0654,62.5172,57.8559,333831745.0,0.0,0.0,0.0,64.07501428571429,72.19076666666666,0.04399270502652253,-0.024520052602332587
2020-03-18,AAPL,59.8614,58.186,60.6704,57.5423,309290856.0,0.0,0.0,0.0,63.39924285714285,71.61294,-0.024520052602332587,-0.007672723992422581
2020-03-19,AAPL,59.4021,60.0357,61.3621,58.8769,280058204.0,0.0,0.0,0.0,61.99294285714286,70.99894333333333,-0.007672723992422581,-0.06347587038168678
2020-03-20,AAPL,55.6315,59.9854,61.1147,55.3291,413811381.0,0.0,0.0,0.0,60.391371428571425,70.22880666666667,-0.06347587038168678,-0.021225384898843402
2020-03-23,AAPL,54.4507,55.3475,55.4511,51.5968,346911749.0,0.0,0.0,0.0,59.564214285714286,69.45498333333333,-0.021225384898843402,0.100290721698711
2020-03-24,AAPL,59.9116,57.3601,60.1095,56.8595,296205126.0,0.0,0.0,0.0,58.48622857142857,68.85093333333333,0.100290721698711,-0.005463048892034306
2020-03-25,AAPL,59.5843,60.8517,62.671,59.2848,312760888.0,0.0,0.0,0.0,58.60110000000001,68.25155,-0.005463048892034306,0.05257928682555635
2020-03-26,AAPL,62.7172,59.8247,62.7765,59.7855,260179749.0,0.0,0.0,0.0,58.794114285714286,67.69530333333334,0.05257928682555635,-0.0413714260202942
2020-03-27,AAPL,60.1225,61.3396,62.0934,59.9529,210377271.0,0.0,0.0,0.0,58.83141428571429,67.07142,-0.0413714260202942,0.028518441515239745
2020-03-30,AAPL,61.8371,60.8489,62.0087,60.5256,173043832.0,0.0,0.0,0.0,59.179271428571425,66.50403,0.028518441515239745,-0.002071571920416626
2020-03-31,AAPL,61.709,62.0274,63.7017,61.1573,202945019.0,0.0,0.0,0.0,60.047485714285706,65.98046666666667,-0.002071571920416626,-0.05255797371534143
2020-04-01,AAPL,58.4657,59.8207,60.3579,58.0292,181534584.0,0.0,0.0,0.0,60.62105714285714,65.31147,-0.05255797371534143,0.01665249881554498
2020-04-02,AAPL,59.4393,58.3249,59.4928,57.4892,170939746.0,0.0,0.0,0.0,60.55358571428572,64.70170333333333,0.01665249881554498,-0.014337315547121254
2020-04-03,AAPL,58.5871,58.9212,59.6277,57.9937,133798197.0,0.0,0.0,0.0,60.41112857142856,64.12226333333334,-0.014337315547121254,0.0872154450382423
2020-04-06,AAPL,63.6968,60.8862,63.8504,60.5206,207908652.0,0.0,0.0,0.0,60.55107142857143,63.833413333333326,0.0872154450382423,-0.011600268773313549
2020-04-07,AAPL,62.9579,65.717,65.9369,62.8553,209007883.0,0.0,0.0,0.0,60.95612857142857,63.60169333333333,-0.011600268773313549,0.025572644576772552
2020-04-08,AAPL,64.5679,63.761,64.8853,63.3924,173990395.0,0.0,0.0,0.0,61.34624285714286,63.38662333333333,0.025572644576772552,0.007269866295791072
2020-04-09,AAPL,65.0373,65.2067,65.5406,64.2389,167007105.0,0.0,0.0,0.0,61.821714285714286,63.341953333333336,0.007269866295791072,0.019607210016405974
2020-04-13,AAPL,66.3125,65.1159,66.4226,64.5098,134975526.0,0.0,0.0,0.0,62.94268571428571,63.34110666666666,0.019607210016405974,0.0505123468426012
2020-04-14,AAPL,69.6621,67.9494,69.9508,67.4773,200877145.0,0.0,0.0,0.0,64.40308571428571,63.24610666666667,0.0505123468426012,-0.009139833568037603
2020-04-15,AAPL,69.0254,68.5307,69.4876,68.103,135111139.0,0.0,0.0,0.0,65.89427142857143,63.20655333333333,-0.009139833568037603,0.007968081314994047
2020-04-16,AAPL,69.5754,69.7389,69.938,68.519,161865197.0,0.0,0.0,0.0,66.73407142857143,63.07676333333333,0.007968081314994047,-0.013601071643138396
2020-04-17,AAPL,68.6291,69.0876,69.6343,67.1857,221743417.0,0.0,0.0,0.0,67.54424285714285,62.99496333333333,-0.013601071643138396,-0.020778357868600716
2020-04-20,AAPL,67.2031,67.4526,68.3563,67.1837,133937199.0,0.0,0.0,0.0,67.9207,62.89707,-0.020778357868600716,-0.03085125537363609
2020-04-21,AAPL,65.1298,67.0466,67.281,64.4133,186451592.0,0.0,0.0,0.0,67.9339142857143,62.91500333333333,-0.03085125537363609,0.02875028020967374
2020-04-22,AAPL,67.0023,66.4002,67.4398,66.057,120588667.0,0.0,0.0,0.0,68.03245714285715,62.84020666666667,0.02875028020967374,-0.003838674194766578
2020-04-23,AAPL,66.7451,66.9492,68.3732,66.7066,128579636.0,0.0,0.0,0.0,67.61574285714286,62.83696,-0.003838674194766578,0.0288650402801105
2020-04-24,AAPL,68.6717,67.2693,68.6815,67.22,130325155.0,0.0,0.0,0.0,67.56521428571429,63.11799,0.0288650402801105,0.0007164523377169996
2020-04-27,AAPL,68.7209,68.3848,69.0521,67.9365,120619788.0,0.0,0.0,0.0,67.44314285714286,63.16010333333334,0.0007164523377169996,-0.01622068395495402
2020-04-28,AAPL,67.6062,69.1821,69.3664,67.5147,115383628.0,0.0,0.0,0.0,67.2970142857143,63.45430333333333,-0.01622068395495402,0.032815037674059466
2020-04-29,AAPL,69.8247,69.0972,70.2978,68.8935,141422205.0,0.0,0.0,0.0,67.67152857142858,63.73625666666667,0.032815037674059466,0.02111430482336485
2020-04-30,AAPL,71.299,70.3697,71.4746,69.9746,188586412.0,0.0,0.0,0.0,68.55284285714286,64.11751,0.02111430482336485,-0.016116635576936655
2020-05-01,AAPL,70.1499,69.4679,72.5585,69.3704,247875448.0,0.0,0.0,0.0,69.0025,64.47577,-0.016116635576936655,0.014146848391801026
2020-05-04,AAPL,71.1423,70.1754,71.2714,69.4837,137597327.0,0.0,0.0,0.0,69.63067142857143,64.99279666666666,0.014146848391801026,0.015071202364837832
2020-05-05,AAPL,72.2145,71.6045,73.0453,71.4597,152208431.0,0.0,0.0,0.0,70.13678571428572,65.58492333333334,0.015071202364837832,0.010305409578408753
2020-05-06,AAPL,72.9587,72.9172,73.5912,72.5269,146627576.0,0.0,0.0,0.0,70.74218571428571,66.01982666666667,0.010305409578408753,0.01029212417436165
2020-05-07,AAPL,73.7096,73.5864,74.0595,73.2809,118690778.0,0.0,0.0,0.0,71.6141,66.49067,0.01029212417436165,0.023811009692088936
2020-05-08,AAPL,75.4647,74.3726,75.5199,74.0446,137718998.0,0.0,0.0,0.0,72.41981428571428,66.91558666666667,0.023811009692088936,0.015750410456809805
2020-05-11,AAPL,76.6533,74.974,77.1489,74.7631,149943148.0,0.0,0.0,0.0,73.18471428571429,67.46661333333333,0.015750410456809805,-0.011445038895911974
2020-05-12,AAPL,75.776,77.34,77.7906,75.6547,166745852.0,0.0,0.0,0.0,73.98844285714286,67.93124333333334,-0.011445038895911974,-0.012042071368243201
2020-05-13,AAPL,74.8635,75.9584,76.8818,73.7795,206116836.0,0.0,0.0,0.0,74.52004285714285,68.36972666666666,-0.012042071368243201,0.0061071149492075705
2020-05-14,AAPL,75.3207,74.0988,75.383,73.3744,163281532.0,0.0,0.0,0.0,74.9637857142857,68.93156,0.0061071149492075705,-0.005874879017321866
2020-05-15,AAPL,74.8782,73.0836,74.9256,73.0512,170904020.0,0.0,0.0,0.0,75.23799999999999,69.44618999999999,-0.005874879017321866,0.023546239092285814
2020-05-18,AAPL,76.6413,76.2058,77.0149,75.5139,139079832.0,0.0,0.0,0.0,75.65681428571429,70.04799666666666,0.023546239092285814,-0.005773649455319774
2020-05-19,AAPL,76.1988,76.6582,77.5097,76.1663,104515519.0,0.0,0.0,0.0,75.76168571428572,70.46473,-0.005773649455319774,0.019438626330073427
2020-05-20,AAPL,77.68,77.0593,77.7491,76.9429,114558552.0,0.0,0.0,0.0,75.90835714285716,70.95546666666668,0.019438626330073427,-0.00745751802265715
2020-05-21,AAPL,77.1007,77.5431,78.0852,76.8621,105501097.0,0.0,0.0,0.0,76.09760000000001,71.37322666666667,-0.00745751802265715,0.006453897305731315
