date,MA_20,MA_200,EMA_26,MACD,MACD_signal,RSI,Stoch_K,ROC,BB_width,ATR,OBV,VWAP,Return,Price_Change_Pct,High_Low_Range,Open_Close_Range,sentiment_sum,polarity_ratio,next_day_return
2020-01-02,5.97288,5.97288,5.97288,0.0,0.0,,100.0,,,0.07957999999999998,0.0,5.972880000000001,,,0.07957999999999998,0.028859999999999886,0.0,0.0,-0.016012375939245455
2020-01-03,5.92506,5.92506,5.92506,0.0,0.0,0.0,33.932025421386754,,0.270510770210727,0.11216999999999988,-206634962.0,5.928500663566904,-0.016012375939245455,-1.6012375939245453,0.09292999999999996,0.024159999999999293,0.0,0.0,0.00419414555131325
2020-01-06,5.9173366666666665,5.9173366666666665,5.9173366666666665,0.0,0.0,20.492143985368813,67.05341810924948,,0.19862334337467402,0.12466666666666655,57379682.0,5.91859602581129,0.00419414555131325,0.41941455513132503,0.1496599999999999,0.11831000000000014,0.0,0.0,0.012113068864380704
2020-01-07,5.931347499999999,5.931347499999999,5.931347499999999,0.0,0.0,50.13035770153293,82.45332722483103,,0.1971401596157758,0.12705999999999973,377923630.0,5.935647394706965,0.012113068864380704,1.2113068864380703,0.13423999999999925,0.04313999999999929,0.0,0.0,0.0018900521982530307
2020-01-08,5.942012,5.942012,5.942012,0.0,0.0,52.9029398729503,84.60908413998514,,0.1955676525399852,0.12103999999999981,656326576.0,5.9460795076549315,0.0018900521982530307,0.18900521982530308,0.09696000000000016,0.015570000000000306,0.0,0.0,0.010959668619990637
2020-01-09,5.960053333333334,5.960053333333334,5.960053333333334,0.0,0.0,64.4011017643117,80.15382088898612,,0.24868529789005933,0.12388333333333312,912839600.0,5.963157673992713,0.010959668619990637,1.0959668619990637,0.1264099999999999,-0.020680000000000476,0.0,0.0,0.005365058691692651
2020-01-10,5.977577142857143,5.977577142857143,5.977577142857143,0.0,0.0,68.23857598299678,75.5726432188821,,0.29313883738077706,0.1258442857142856,1230628612.0,5.983340466047455,0.005365058691692651,0.5365058691692651,0.11932000000000009,-0.07467999999999986,0.0,0.0,0.0313182260567641
2020-01-13,6.0145325000000005,6.0145325000000005,6.0145325000000005,0.0,0.0,80.54595012407954,95.3790680473373,,0.498461641109067,0.1370499999999999,1552309574.0,6.025644438034191,0.0313182260567641,3.13182260567641,0.15488000000000035,0.10763000000000034,0.0,0.0,-0.018653897041710655
2020-01-14,6.030273333333334,6.030273333333334,6.030273333333334,0.0,0.0,65.05980546792847,73.74075443786982,,0.5030759771644853,0.1362544444444444,1191222806.0,6.044020894835805,-0.018653897041710655,-1.8653897041710654,0.11244000000000032,-0.07430000000000003,0.0,0.0,-0.006874370553263399
2020-01-15,6.038634,6.038634,6.038634,0.0,0.0,60.83015853508662,65.91531065088755,,0.485951596382467,0.132974,927014384.0,6.050543969148946,-0.006874370553263399,-0.6874370553263399,0.10345000000000049,-0.054999999999999716,0.0,0.0,0.013654177052869827
