date,ticker,close,open,high,low,volume
2025-09-11,NVDA,177.17,179.68,180.28,176.48,151159274.0
2025-09-10,NVDA,177.33,176.64,179.29,175.47,226852020.0
2025-09-09,NVDA,170.76,169.09,170.98,166.7401,157548392.0
2025-09-08,NVDA,168.31,167.55,170.96,167.35,163769133.0
2025-09-05,NVDA,167.02,168.03,169.03,164.07,224441435.0
2025-09-04,NVDA,171.66,170.57,171.86,169.41,141670144.0
2025-09-03,NVDA,170.62,171.06,172.41,168.875,164424873.0
2025-09-02,NVDA,170.78,170.0,172.379,167.22,231164853.0
2025-08-29,NVDA,174.18,178.11,178.15,173.145,243257873.0
2025-08-28,NVDA,180.17,180.82,184.47,176.41,281787824.0
2025-08-27,NVDA,181.6,181.98,182.49,179.1,235518949.0
2025-08-26,NVDA,181.77,180.055,182.39,178.81,168688186.0
2025-08-25,NVDA,179.81,178.35,181.91,176.57,163012789.0
2025-08-22,NVDA,177.99,172.61,178.59,171.2,172789427.0
2025-08-21,NVDA,174.98,174.85,176.9,173.81,140040850.0
2025-08-20,NVDA,175.4,175.165,176.0,168.801,215142725.0
2025-08-19,NVDA,175.64,182.43,182.5,175.49,185229219.0
2025-08-18,NVDA,182.01,180.6,182.9375,180.59,132007959.0
2025-08-15,NVDA,180.45,181.88,181.9,178.0417,156602161.0
2025-08-14,NVDA,182.02,179.75,183.02,179.46,129553959.0
2025-08-13,NVDA,181.59,182.615,183.97,179.35,179871724.0
2025-08-12,NVDA,183.16,182.96,184.48,179.46,145729202.0
2025-08-11,NVDA,182.06,182.05,183.84,180.25,138323191.0
2025-08-08,NVDA,182.7,181.55,183.3,180.4,123396679.0
2025-08-07,NVDA,180.77,181.57,183.88,178.795,151878365.0
2025-08-06,NVDA,179.42,176.325,179.9,176.25,137192265.0
2025-08-05,NVDA,178.26,179.62,180.26,175.9,156407621.0
2025-08-04,NVDA,180.0,175.16,180.2,174.52,148174609.0
2025-08-01,NVDA,173.72,174.09,176.54,170.89,204528985.0
2025-07-31,NVDA,177.87,182.9,183.3,175.93,221685446.0
2025-07-30,NVDA,179.27,176.51,179.89,176.04,174312208.0
2025-07-29,NVDA,175.51,177.96,179.38,175.02,154077512.0
2025-07-28,NVDA,176.75,174.02,177.0,173.97,140023521.0
2025-07-25,NVDA,173.5,173.61,174.72,172.96,122316792.0
2025-07-24,NVDA,173.74,172.44,173.83,171.3,128984628.0
2025-07-23,NVDA,170.78,169.53,171.26,167.97,154082197.0
2025-07-22,NVDA,167.03,171.34,171.39,164.58,193114327.0
2025-07-21,NVDA,171.38,172.75,173.38,171.0,123126136.0
2025-07-18,NVDA,172.41,173.64,174.25,171.26,146456416.0
2025-07-17,NVDA,173.0,172.02,174.16,170.83,160841119.0
2025-07-16,NVDA,171.37,171.06,171.75,168.9,158831509.0
2025-07-15,NVDA,170.7,171.19,172.4,169.195,230627350.0
2025-07-14,NVDA,164.07,165.37,165.49,162.02,136975754.0
2025-07-11,NVDA,164.92,163.715,167.89,163.47,193633263.0
2025-07-10,NVDA,164.1,164.32,164.5,161.61,167704075.0
2025-07-09,NVDA,162.88,161.22,164.42,161.16,183656443.0
2025-07-08,NVDA,160.0,159.33,160.22,158.39,138133025.0
2025-07-07,NVDA,158.24,158.2,159.31,157.342,140138975.0
2025-07-03,NVDA,159.34,158.37,160.98,157.77,143716055.0
2025-07-02,NVDA,157.25,152.98,157.6,152.97,171224111.0
2025-07-01,NVDA,153.3,156.29,157.2,151.49,213143621.0
2025-06-30,NVDA,157.99,158.4,158.66,155.96,194580316.0
2025-06-27,NVDA,157.75,156.04,158.71,155.255,263234539.0
2025-06-26,NVDA,155.02,155.975,156.715,154.0,198145746.0
2025-06-25,NVDA,154.31,149.27,154.45,149.26,269146471.0
2025-06-24,NVDA,147.9,145.56,147.96,145.5,187566121.0
2025-06-23,NVDA,144.17,142.5,144.78,142.03,154308941.0
2025-06-20,NVDA,143.85,145.45,146.2,142.65,242956157.0
2025-06-18,NVDA,145.48,144.005,145.65,143.12,161494121.0
2025-06-17,NVDA,144.12,144.49,145.22,143.78,139108000.0
2025-06-16,NVDA,144.69,143.345,146.175,143.2001,183133666.0
2025-06-13,NVDA,141.97,142.48,143.58,140.855,180820565.0
2025-06-12,NVDA,145.0,141.97,145.0,141.85,162364991.0
2025-06-11,NVDA,142.83,144.61,144.99,141.87,167694044.0
2025-06-10,NVDA,143.96,142.69,144.29,141.525,155881897.0
2025-06-09,NVDA,142.63,143.19,145.0,141.94,185114494.0
2025-06-06,NVDA,141.72,142.51,143.27,141.51,153986153.0
2025-06-05,NVDA,139.99,142.17,144.0,138.83,232410759.0
2025-06-04,NVDA,141.92,142.19,142.39,139.545,167120819.0
2025-06-03,NVDA,141.22,138.78,142.0,137.95,225578783.0
2025-06-02,NVDA,137.38,135.49,138.12,135.4,197663116.0
2025-05-30,NVDA,135.13,138.715,139.62,132.92,333170851.0
2025-05-29,NVDA,139.19,142.245,143.49,137.91,370615167.0
2025-05-28,NVDA,134.81,136.025,137.25,134.79,304021146.0
2025-05-27,NVDA,135.5,134.15,135.66,133.31,192953613.0
2025-05-23,NVDA,131.29,130.0,132.68,129.16,198821324.0
2025-05-22,NVDA,132.83,132.23,134.25,131.55,187343954.0
2025-05-21,NVDA,131.8,133.06,137.4,130.59,270608738.0
2025-05-20,NVDA,134.38,134.29,134.58,132.62,161514247.0
2025-05-19,NVDA,135.57,132.39,135.87,132.39,193154571.0
2025-05-16,NVDA,135.4,136.22,136.35,133.46,226542451.0
2025-05-15,NVDA,134.83,134.295,136.3,132.66,226632563.0
2025-05-14,NVDA,135.34,133.195,135.435,131.68,281180830.0
2025-05-13,NVDA,129.93,124.98,131.2189,124.47,330430105.0
2025-05-12,NVDA,123.0,121.97,123.0,120.28,225023345.0
2025-05-09,NVDA,116.65,117.35,118.23,115.21,132972189.0
2025-05-08,NVDA,117.37,118.25,118.68,115.85,198428122.0
2025-05-07,NVDA,117.06,113.045,117.68,112.2818,207827821.0
2025-05-06,NVDA,113.54,111.48,114.74,110.822,158525621.0
2025-05-05,NVDA,113.82,112.905,114.665,112.66,133163241.0
2025-05-02,NVDA,114.5,114.18,115.4,113.37,190194778.0
2025-05-01,NVDA,111.61,113.08,114.94,111.3,236121507.0
2025-04-30,NVDA,108.92,104.47,108.92,104.08,235044611.0
2025-04-29,NVDA,109.02,107.67,110.1999,107.44,170444263.0
2025-04-28,NVDA,108.73,109.69,110.3699,106.02,207708479.0
2025-04-25,NVDA,111.01,106.85,111.92,105.73,251064672.0
2025-04-24,NVDA,106.43,103.475,106.54,103.11,220815041.0
2025-04-23,NVDA,102.71,104.52,104.8,102.02,247525971.0
2025-04-22,NVDA,98.89,98.78,99.811,97.28,241004784.0
2025-04-21,NVDA,96.91,98.77,99.44,95.04,288501136.0
